j_upper,j_lower,accuracy,num_changed,normalized_delta
0,0,10.0,11173954,-0.8927843894070977
0,1,10.03,11173944,-0.892462742575319
0,2,10.03,11173941,-0.892462742575319
0,3,10.03,11173885,-0.892462742575319
0,4,10.03,11173838,-0.892462742575319
1,0,10.0,11169638,-0.8927843894070977
1,1,10.0,11164477,-0.8927843894070977
1,2,10.0,11154334,-0.8927843894070977
1,3,10.0,11134747,-0.8927843894070977
1,4,10.0,11098790,-0.8927843894070977
2,0,10.0,11057616,-0.8927843894070977
2,1,10.0,10932560,-0.8927843894070977
2,2,10.0,10689160,-0.8927843894070977
2,3,10.0,10200360,-0.8927843894070977
2,4,10.0,9270103,-0.8927843894070977
3,0,10.0,10826798,-0.8927843894070977
3,1,10.0,10475524,-0.8927843894070977
3,2,10.0,9776011,-0.8927843894070977
3,3,10.0,8374941,-0.8927843894070977
3,4,10.0,5595313,-0.8927843894070977
4,0,30.27,10480700,-0.6754583467352847
4,1,39.34,9779294,-0.5782137879275222
4,2,45.19,8383239,-0.5154926557306744
4,3,47.74,5585847,-0.48815267502948423
4,4,93.27,0,0.0
